alpha,beta1,beta2,window,corr_min_completion,corr_knn_completion,corr_min_rmsd,corr_knn_rmsd,auc_min_success,auc_knn_success
0.05,0.5,0.3,24,0.8541274661931233,0.684332907,0.5099226246893666,0.41492297897601155,0.9466621957438479,0.8819425071751441
0.05,0.5,0.3,48,0.8888273499781398,0.7896944391623526,0.5320714845308137,0.48525523059979686,0.9606324583813319,0.9215365578703943
0.05,0.5,0.3,72,0.8988122004622994,0.8316926376727007,0.5380923622558322,0.5097134962067303,0.9639261928874718,0.9397005406875374
0.05,0.5,0.3,96,0.9059146180161952,0.8570170130297652,0.5422215707390903,0.5243097548552734,0.9675592094410366,0.9500133919748684
0.05,0.5,0.3,120,0.9095988538929077,0.8737363878983763,0.5441433786329255,0.5334426559219212,0.9685094312182156,0.9576921476720857
0.05,0.5,0.3,240,0.9095988538929077,0.8737363878983763,0.5441433786329255,0.5334426559219212,0.9685094312182156,0.9576921476720857
0.05,0.5,0.3,480,0.9095988538929077,0.8737363878983763,0.5441433786329255,0.5334426559219212,0.9685094312182156,0.9576921476720857
0.05,0.5,0.5,6,0.7227841620423712,0.6589123155186248,0.42906152275480636,0.38780889575161415,0.8979248276226608,0.9232257958263713
0.05,0.5,0.5,12,0.8043785697295248,0.6152963094034073,0.47856785743877495,0.3585442359899767,0.925993339,0.8789898477867155
0.05,0.5,0.5,24,0.8543781113658578,0.6850739476136058,0.510233367,0.41565982141330743,0.9469166007751006,0.8822370227366738
0.05,0.5,0.5,48,0.8889928503674636,0.7902335633686111,0.5323413840563225,0.48590533613007564,0.9608569085913261,0.9217457745168611
0.05,0.5,0.5,72,0.8989421941299064,0.8320983847755057,0.5383473612986653,0.5103104811835552,0.964135922,0.9398762766434424
0.05,0.5,0.5,96,0.9060154475198247,0.8573193299543466,0.5424654219045928,0.5248640738789299,0.9677559047311319,0.9501707150577463
0.05,0.5,0.5,120,0.9096805408280118,0.873958492,0.5443804508943287,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.5,0.5,240,0.9096805408280118,0.873958492,0.5443804508943287,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.5,0.5,480,0.9096805408280118,0.873958492,0.5443804508943287,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.5,0.7,6,0.7232227397450013,0.659745745,0.429554801,0.3886885290115265,0.8981328087080898,0.923577253
0.05,0.5,0.7,12,0.8046814456348909,0.6161780692268988,0.47895492637673515,0.35941447936686904,0.9262040774358047,0.8793327159747134
0.05,0.5,0.7,24,0.8545681946780189,0.6858262331736722,0.5105133576391092,0.41641296949530343,0.9471234216385795,0.8824724272500155
0.05,0.5,0.7,48,0.8890744563482791,0.7907226312257533,0.5325668010116815,0.48653281893878936,0.9610381593684489,0.9219201995726407
0.05,0.5,0.7,72,0.8989785690350947,0.8324196541332358,0.5385523731701078,0.5108652939506131,0.9643045307179461,0.9400251768163185
0.05,0.5,0.7,96,0.9060146790245279,0.8575126854127233,0.5426548375458772,0.5253623791583809,0.9679147647313984,0.95030506
